samplename,nameid,function entity,property name,property type,function type,function description,full description,abstract,link
ChemD and IN_NWU_SEbrahimiAngewChemIntEd2021-01,109969408,Fluorophore,thiazole orange,NaN,imaging function,,NaN,"The ability of aptamers to recognize a variety of different molecules has fueled their emergence as recognition agents to probe complex media and cells. Many detection strategies require aptamer binding to its target to result in a dramatic change in structure, typically from an unfolded to a folded state. Here, we report a strategy based on forced intercalation (FIT) that increases the scope of aptamer recognition by transducing subtle changes in aptamer structures into fluorescent readouts. By screening a library of green-fluorescent FIT-aptamers whose design is guided by computational modeling, we could identify hits that sense steroids like dehydroepiandrosterone sulfate (DHEAS) down to 1.3&amp;#8197;&amp;#956;M with no loss in binding affinity compared to the unmodified aptamer. This enabled us to study DHEAS in clinical serum samples with several advantages over gold standard methods, including rapid readout (&amp;lt;30&amp;#8197;min), simple instrumentation (plate-reader), and low sample volumes (10&amp;#8197;&amp;#956;L).",https://www.ncbi.nlm.nih.gov/pubmed/33878237
NWU-SWangPNAS2019-12,96075802,biopolymer,OVA(257-264)(TMR),peptide,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
NWU-SWangPNAS2019-11,96075785,biopolymer,OVA(257-264)(TMR),peptide,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
NWU-SWangPNAS2019-10,96075784,biopolymer,OVA(257-264)(TMR),peptide,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
NWU-SWangPNAS2019-09,96075783,biopolymer,OVA(257-264)(TMR),peptide,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
NWU-SWangPNAS2019-08,96075782,small molecule,Cy5-NHS ester,NaN,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
NWU-SWangPNAS2019-07,96075781,small molecule,Cy5-NHS ester,NaN,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
NWU-SWangPNAS2019-06_Copied,97288195,small molecule,Cy5-NHS ester,NaN,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
NWU-SWangPNAS2019-06,96075797,small molecule,Cy5-NHS ester,NaN,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
NWU-SWangPNAS2019-06,96075797,biopolymer,OVA(257-264)(Cy5),peptide,imaging function,,NaN,"In the case of cancer immunotherapy, nanostructures are attractive because they can carry all of the necessary components of a vaccine, including both antigen and adjuvant. Herein, we explore how spherical nucleic acids (SNAs), an emerging class of nanotherapeutic materials, can be used to deliver peptide antigens and nucleic acid adjuvants to raise immune responses that kill cancer cells, reduce (or eliminate) tumor growth, and extend life in three established mouse tumor models. Three SNA structures that are compositionally nearly identical but structurally different markedly vary in their abilities to cross-prime antigen-specific CD8 T cells and raise subsequent antitumor immune responses. Importantly, the most effective structure is the one that exhibits synchronization of maximum antigen presentation and costimulatory marker expression. In the human papillomavirus-associated TC-1 model, vaccination with this structure improved overall survival, induced the complete elimination of tumors from 30% of the mice, and conferred curative protection from tumor rechallenges, consistent with immunological memory not otherwise achievable. The antitumor effect of SNA vaccination is dependent on the method of antigen incorporation within the SNA structure, underscoring the modularity of this class of nanostructures and the potential for the deliberate design of new vaccines, thereby defining a type of rational cancer vaccinology.",https://www.ncbi.nlm.nih.gov/pubmed/31068463
